Date,Month,Year,Holidays_Count,Days,Area,AQI,full_date
19,1,2024,0,4,Okhla Phase-2,364.0,2024-01-19
19,1,2024,0,4,North Campus DU,378.0,2024-01-19
19,1,2024,0,4,Sri Aurobindo Marg,341.0,2024-01-19
19,1,2024,0,4,Dr. Karni Singh Shooting Range,339.0,2024-01-19
19,1,2024,0,4,Punjabi Bagh,405.0,2024-01-19
19,1,2024,0,4,ITO,387.0,2024-01-19
19,1,2024,0,4,R K Puram,348.0,2024-01-19
19,1,2024,0,4,Narela,372.0,2024-01-19
19,1,2024,0,4,Bawana,380.0,2024-01-19
20,1,2024,0,5,Bawana,366.0,2024-01-20
20,1,2024,0,5,North Campus DU,328.0,2024-01-20
20,1,2024,0,5,Sri Aurobindo Marg,352.0,2024-01-20
20,1,2024,0,5,Alipur,326.0,2024-01-20
20,1,2024,0,5,R K Puram,352.0,2024-01-20
20,1,2024,0,5,Dr. Karni Singh Shooting Range,338.0,2024-01-20
20,1,2024,0,5,Okhla Phase-2,337.0,2024-01-20
20,1,2024,0,5,ITO,346.0,2024-01-20
20,1,2024,0,5,Punjabi Bagh,351.0,2024-01-20
20,1,2024,0,5,Narela,349.0,2024-01-20
21,1,2024,0,6,Punjabi Bagh,394.0,2024-01-21
21,1,2024,0,6,Bawana,338.0,2024-01-21
21,1,2024,0,6,ITO,323.0,2024-01-21
21,1,2024,0,6,Sri Aurobindo Marg,353.0,2024-01-21
21,1,2024,0,6,North Campus DU,359.0,2024-01-21
21,1,2024,0,6,Narela,336.0,2024-01-21
21,1,2024,0,6,Dr. Karni Singh Shooting Range,351.0,2024-01-21
21,1,2024,0,6,R K Puram,376.0,2024-01-21
21,1,2024,0,6,Okhla Phase-2,399.0,2024-01-21
21,1,2024,0,6,Alipur,310.0,2024-01-21
22,1,2024,0,0,Okhla Phase-2,352.0,2024-01-22
22,1,2024,0,0,Punjabi Bagh,353.0,2024-01-22
22,1,2024,0,0,Dr. Karni Singh Shooting Range,350.0,2024-01-22
22,1,2024,0,0,Sri Aurobindo Marg,344.0,2024-01-22
22,1,2024,0,0,Narela,341.0,2024-01-22
22,1,2024,0,0,Alipur,325.0,2024-01-22
22,1,2024,0,0,R K Puram,355.0,2024-01-22
22,1,2024,0,0,Bawana,344.0,2024-01-22
22,1,2024,0,0,ITO,255.0,2024-01-22
23,1,2024,0,1,North Campus DU,373.0,2024-01-23
23,1,2024,0,1,Punjabi Bagh,405.0,2024-01-23
23,1,2024,0,1,Narela,413.0,2024-01-23
23,1,2024,0,1,Sri Aurobindo Marg,348.0,2024-01-23
23,1,2024,0,1,Okhla Phase-2,382.0,2024-01-23
23,1,2024,0,1,Dr. Karni Singh Shooting Range,355.0,2024-01-23
23,1,2024,0,1,R K Puram,368.0,2024-01-23
23,1,2024,0,1,Bawana,389.0,2024-01-23
23,1,2024,0,1,Alipur,362.0,2024-01-23
24,1,2024,0,2,Narela,426.0,2024-01-24
24,1,2024,0,2,Punjabi Bagh,453.0,2024-01-24
24,1,2024,0,2,North Campus DU,391.0,2024-01-24
24,1,2024,0,2,R K Puram,446.0,2024-01-24
24,1,2024,0,2,Alipur,370.0,2024-01-24
24,1,2024,0,2,Bawana,419.0,2024-01-24
24,1,2024,0,2,Dr. Karni Singh Shooting Range,436.0,2024-01-24
24,1,2024,0,2,ITO,363.0,2024-01-24
24,1,2024,0,2,Okhla Phase-2,443.0,2024-01-24
24,1,2024,0,2,Sri Aurobindo Marg,446.0,2024-01-24
25,1,2024,0,3,Punjabi Bagh,358.0,2024-01-25
25,1,2024,0,3,Alipur,266.0,2024-01-25
25,1,2024,0,3,Dr. Karni Singh Shooting Range,385.0,2024-01-25
25,1,2024,0,3,Okhla Phase-2,387.0,2024-01-25
25,1,2024,0,3,ITO,299.0,2024-01-25
25,1,2024,0,3,Narela,304.0,2024-01-25
25,1,2024,0,3,Bawana,298.0,2024-01-25
25,1,2024,0,3,Sri Aurobindo Marg,352.0,2024-01-25
25,1,2024,0,3,North Campus DU,350.0,2024-01-25
25,1,2024,0,3,R K Puram,383.0,2024-01-25
26,1,2024,0,4,R K Puram,476.0,2024-01-26
26,1,2024,0,4,Sri Aurobindo Marg,437.0,2024-01-26
26,1,2024,0,4,Punjabi Bagh,435.0,2024-01-26
26,1,2024,0,4,Bawana,385.0,2024-01-26
26,1,2024,0,4,ITO,396.0,2024-01-26
26,1,2024,0,4,Okhla Phase-2,480.0,2024-01-26
26,1,2024,0,4,Narela,373.0,2024-01-26
26,1,2024,0,4,Dr. Karni Singh Shooting Range,453.0,2024-01-26
26,1,2024,0,4,Alipur,312.0,2024-01-26
27,1,2024,0,5,R K Puram,409.0,2024-01-27
27,1,2024,0,5,Alipur,298.0,2024-01-27
27,1,2024,0,5,Punjabi Bagh,384.0,2024-01-27
27,1,2024,0,5,Sri Aurobindo Marg,337.0,2024-01-27
27,1,2024,0,5,Bawana,344.0,2024-01-27
27,1,2024,0,5,Narela,322.0,2024-01-27
27,1,2024,0,5,Dr. Karni Singh Shooting Range,342.0,2024-01-27
27,1,2024,0,5,ITO,340.0,2024-01-27
28,1,2024,0,6,Dr. Karni Singh Shooting Range,371.0,2024-01-28
28,1,2024,0,6,Sri Aurobindo Marg,340.0,2024-01-28
28,1,2024,0,6,R K Puram,409.0,2024-01-28
28,1,2024,0,6,Punjabi Bagh,402.0,2024-01-28
28,1,2024,0,6,Bawana,378.0,2024-01-28
28,1,2024,0,6,Narela,339.0,2024-01-28
28,1,2024,0,6,Okhla Phase-2,387.0,2024-01-28
28,1,2024,0,6,Alipur,325.0,2024-01-28
28,1,2024,0,6,ITO,348.0,2024-01-28
29,1,2024,0,0,ITO,326.0,2024-01-29
29,1,2024,0,0,Sri Aurobindo Marg,366.0,2024-01-29
29,1,2024,0,0,Bawana,392.0,2024-01-29
29,1,2024,0,0,Okhla Phase-2,367.0,2024-01-29
29,1,2024,0,0,Alipur,357.0,2024-01-29
29,1,2024,0,0,Dr. Karni Singh Shooting Range,366.0,2024-01-29
29,1,2024,0,0,Narela,382.0,2024-01-29
29,1,2024,0,0,R K Puram,378.0,2024-01-29
29,1,2024,0,0,Punjabi Bagh,392.0,2024-01-29
30,1,2024,0,1,Alipur,305.0,2024-01-30
30,1,2024,0,1,Punjabi Bagh,399.0,2024-01-30
30,1,2024,0,1,Narela,337.0,2024-01-30
30,1,2024,0,1,ITO,374.0,2024-01-30
30,1,2024,0,1,Sri Aurobindo Marg,348.0,2024-01-30
30,1,2024,0,1,Bawana,329.0,2024-01-30
30,1,2024,0,1,Okhla Phase-2,392.0,2024-01-30
30,1,2024,0,1,Dr. Karni Singh Shooting Range,371.0,2024-01-30
30,1,2024,0,1,R K Puram,391.0,2024-01-30
31,1,2024,0,2,Okhla Phase-2,437.0,2024-01-31
31,1,2024,0,2,Punjabi Bagh,428.0,2024-01-31
31,1,2024,0,2,Dr. Karni Singh Shooting Range,421.0,2024-01-31
31,1,2024,0,2,ITO,381.0,2024-01-31
31,1,2024,0,2,Narela,354.0,2024-01-31
31,1,2024,0,2,Alipur,314.0,2024-01-31
31,1,2024,0,2,R K Puram,449.0,2024-01-31
31,1,2024,0,2,Bawana,370.0,2024-01-31
31,1,2024,0,2,Sri Aurobindo Marg,426.0,2024-01-31
1,2,2024,0,3,Bawana,214.0,2024-02-01
1,2,2024,0,3,Punjabi Bagh,194.0,2024-02-01
1,2,2024,0,3,R K Puram,182.0,2024-02-01
1,2,2024,0,3,Okhla Phase-2,168.0,2024-02-01
1,2,2024,0,3,Dr. Karni Singh Shooting Range,164.0,2024-02-01
1,2,2024,0,3,ITO,319.0,2024-02-01
1,2,2024,0,3,Alipur,173.0,2024-02-01
1,2,2024,0,3,Narela,196.0,2024-02-01
1,2,2024,0,3,North Campus DU,191.0,2024-02-01
1,2,2024,0,3,Sri Aurobindo Marg,175.0,2024-02-01
2,2,2024,0,4,Punjabi Bagh,261.0,2024-02-02
2,2,2024,0,4,Sri Aurobindo Marg,244.0,2024-02-02
2,2,2024,0,4,ITO,147.0,2024-02-02
2,2,2024,0,4,Narela,226.0,2024-02-02
2,2,2024,0,4,Okhla Phase-2,263.0,2024-02-02
2,2,2024,0,4,Bawana,260.0,2024-02-02
2,2,2024,0,4,R K Puram,262.0,2024-02-02
2,2,2024,0,4,Alipur,167.0,2024-02-02
2,2,2024,0,4,Dr. Karni Singh Shooting Range,247.0,2024-02-02
3,2,2024,0,5,R K Puram,238.0,2024-02-03
3,2,2024,0,5,ITO,136.0,2024-02-03
3,2,2024,0,5,Okhla Phase-2,206.0,2024-02-03
3,2,2024,0,5,Sri Aurobindo Marg,190.0,2024-02-03
3,2,2024,0,5,Bawana,238.0,2024-02-03
3,2,2024,0,5,Punjabi Bagh,264.0,2024-02-03
3,2,2024,0,5,North Campus DU,217.0,2024-02-03
3,2,2024,0,5,Dr. Karni Singh Shooting Range,227.0,2024-02-03
3,2,2024,0,5,Alipur,174.0,2024-02-03
4,2,2024,0,6,Okhla Phase-2,279.0,2024-02-04
4,2,2024,0,6,Bawana,305.0,2024-02-04
4,2,2024,0,6,Alipur,221.0,2024-02-04
4,2,2024,0,6,Sri Aurobindo Marg,239.0,2024-02-04
4,2,2024,0,6,Punjabi Bagh,339.0,2024-02-04
4,2,2024,0,6,ITO,247.0,2024-02-04
4,2,2024,0,6,Dr. Karni Singh Shooting Range,292.0,2024-02-04
4,2,2024,0,6,R K Puram,311.0,2024-02-04
5,2,2024,0,0,Bawana,238.0,2024-02-05
5,2,2024,0,0,Alipur,177.0,2024-02-05
5,2,2024,0,0,Okhla Phase-2,196.0,2024-02-05
5,2,2024,0,0,Sri Aurobindo Marg,186.0,2024-02-05
5,2,2024,0,0,Dr. Karni Singh Shooting Range,176.0,2024-02-05
5,2,2024,0,0,Punjabi Bagh,226.0,2024-02-05
5,2,2024,0,0,ITO,136.0,2024-02-05
5,2,2024,0,0,Narela,211.0,2024-02-05
5,2,2024,0,0,R K Puram,227.0,2024-02-05
6,2,2024,0,1,R K Puram,178.0,2024-02-06
6,2,2024,0,1,Dr. Karni Singh Shooting Range,137.0,2024-02-06
6,2,2024,0,1,ITO,93.0,2024-02-06
6,2,2024,0,1,Okhla Phase-2,135.0,2024-02-06
6,2,2024,0,1,North Campus DU,156.0,2024-02-06
6,2,2024,0,1,Punjabi Bagh,151.0,2024-02-06
6,2,2024,0,1,Bawana,134.0,2024-02-06
6,2,2024,0,1,Sri Aurobindo Marg,127.0,2024-02-06
6,2,2024,0,1,Alipur,115.0,2024-02-06
6,2,2024,0,1,Narela,121.0,2024-02-06
7,2,2024,0,2,North Campus DU,169.0,2024-02-07
7,2,2024,0,2,Bawana,206.0,2024-02-07
7,2,2024,0,2,Alipur,118.0,2024-02-07
7,2,2024,0,2,Okhla Phase-2,153.0,2024-02-07
7,2,2024,0,2,Sri Aurobindo Marg,144.0,2024-02-07
7,2,2024,0,2,Punjabi Bagh,173.0,2024-02-07
7,2,2024,0,2,ITO,121.0,2024-02-07
7,2,2024,0,2,R K Puram,216.0,2024-02-07
7,2,2024,0,2,Narela,151.0,2024-02-07
7,2,2024,0,2,Dr. Karni Singh Shooting Range,170.0,2024-02-07
8,2,2024,0,3,Narela,162.0,2024-02-08
8,2,2024,0,3,Okhla Phase-2,147.0,2024-02-08
8,2,2024,0,3,ITO,111.0,2024-02-08
8,2,2024,0,3,Punjabi Bagh,200.0,2024-02-08
